query,recipe
"Looking for a dinner party recipe using sweet potato,Roasted Sweet Potato, Quinoa, and Tofu Bowl This vibrant and hearty dish is perfect for a dinner party, showcasing the natural sweetness of roasted sweet potatoes, the nutty flavor of quinoa, and the satisfying texture of crispy tofu. The combination is not only visually stunning but also packed with nutrients. Feel free to swap out the quinoa for farro or brown rice, and if you prefer, you can use tempeh or chickpeas in place of tofu for a different protein option. A drizzle of tahini or a sprinkle of feta can elevate the dish even further. ### Steps # Step 1 Preheat your oven to 425°F (220°C). Line a baking sheet with parchment paper. # Step 2 Peel and dice 2 medium sweet potatoes into 1-inch cubes. Toss them in a bowl with 2 tablespoons of olive oil, salt, and pepper. Spread them out on the prepared baking sheet in a single layer. # Step 3 Press 14 ounces of firm tofu to remove excess moisture, then cut it into cubes. In a separate bowl, toss the tofu with 1 tablespoon of soy sauce, 1 tablespoon of cornstarch, and a drizzle of olive oil. Add the tofu to the baking sheet with the sweet potatoes. # Step 4 Roast the sweet potatoes and tofu in the oven for 25-30 minutes, flipping halfway through, until the sweet potatoes are tender and the tofu is golden and crispy. # Step 5 While the sweet potatoes and tofu are roasting, rinse 1 cup of quinoa under cold water. In a medium saucepan, combine the quinoa with 2 cups of water and a pinch of salt. Bring to a boil, then reduce the heat to low, cover, and simmer for 15 minutes or until the quinoa is fluffy and the water is absorbed. # Step 6 Once everything is cooked, assemble the bowls by placing a scoop of quinoa at the bottom, topped with roasted sweet potatoes and tofu. Drizzle with tahini or your favorite dressing, and garnish with fresh herbs like cilantro or parsley. ### Tips - For added flavor, consider marinating the tofu in a mixture of soy sauce, garlic, and ginger for at least 30 minutes before roasting. - If you have leftover roasted sweet potatoes and quinoa, they make a fantastic base for a salad the next day. Just toss them with some greens, nuts, and a light vinaigrette for a quick lunch. - Feel free to add seasonal vegetables like Brussels sprouts or bell peppers to the roasting pan for more variety and color., Quinoa, and Tofu Bowl This vibrant and hearty dish is perfect for a dinner party, showcasing the natural sweetness of roasted sweet potatoes, the nutty flavor of quinoa, and the satisfying texture of crispy tofu. The combination is not only visually stunning but also packed with nutrients. Feel free to swap out the quinoa for farro or brown rice, and if you prefer, you can use tempeh or chickpeas in place of tofu for a different protein option. A drizzle of tahini or a sprinkle of feta can elevate the dish even further. ### Steps # Step 1 Preheat your oven to 425°F (220°C). Line a baking sheet with parchment paper. # Step 2 Peel and dice 2 medium sweet potatoes into 1-inch cubes. Toss them in a bowl with 2 tablespoons of olive oil, salt, and pepper. Spread them out on the prepared baking sheet in a single layer. # Step 3 Press 14 ounces of firm tofu to remove excess moisture, then cut it into cubes. In a separate bowl, toss the tofu with 1 tablespoon of soy sauce, 1 tablespoon of cornstarch, and a drizzle of olive oil. Add the tofu to the baking sheet with the sweet potatoes. # Step 4 Roast the sweet potatoes and tofu in the oven for 25-30 minutes, flipping halfway through, until the sweet potatoes are tender and the tofu is golden and crispy. # Step 5 While the sweet potatoes and tofu are roasting, rinse 1 cup of quinoa under cold water. In a medium saucepan, combine the quinoa with 2 cups of water and a pinch of salt. Bring to a boil, then reduce the heat to low, cover, and simmer for 15 minutes or until the quinoa is fluffy and the water is absorbed. # Step 6 Once everything is cooked, assemble the bowls by placing a scoop of quinoa at the bottom, topped with roasted sweet potatoes and tofu. Drizzle with tahini or your favorite dressing, and garnish with fresh herbs like cilantro or parsley. ### Tips - For added flavor, consider marinating the tofu in a mixture of soy sauce, garlic, and ginger for at least 30 minutes before roasting. - If you have leftover roasted sweet potatoes and quinoa, they make a fantastic base for a salad the next day. Just toss them with some greens, nuts, and a light vinaigrette for a quick lunch. - Feel free to add seasonal vegetables like Brussels sprouts or bell peppers to the roasting pan for more variety and color., and tofu that I can roast!","Roasted Sweet Potato, Quinoa, and Tofu Bowl

This vibrant and hearty dish is perfect for a dinner party, showcasing the natural sweetness of roasted sweet potatoes, the nutty flavor of quinoa, and the satisfying texture of crispy tofu. The combination is not only visually stunning but also packed with nutrients. Feel free to swap out the quinoa for farro or brown rice, and if you prefer, you can use tempeh or chickpeas in place of tofu for a different protein option. A drizzle of tahini or a sprinkle of feta can elevate the dish even further.

### Steps
# Step 1
Preheat your oven to 425°F (220°C). Line a baking sheet with parchment paper.

# Step 2
Peel and dice 2 medium sweet potatoes into 1-inch cubes. Toss them in a bowl with 2 tablespoons of olive oil, salt, and pepper. Spread them out on the prepared baking sheet in a single layer.

# Step 3
Press 14 ounces of firm tofu to remove excess moisture, then cut it into cubes. In a separate bowl, toss the tofu with 1 tablespoon of soy sauce, 1 tablespoon of cornstarch, and a drizzle of olive oil. Add the tofu to the baking sheet with the sweet potatoes.

# Step 4
Roast the sweet potatoes and tofu in the oven for 25-30 minutes, flipping halfway through, until the sweet potatoes are tender and the tofu is golden and crispy.

# Step 5
While the sweet potatoes and tofu are roasting, rinse 1 cup of quinoa under cold water. In a medium saucepan, combine the quinoa with 2 cups of water and a pinch of salt. Bring to a boil, then reduce the heat to low, cover, and simmer for 15 minutes or until the quinoa is fluffy and the water is absorbed.

# Step 6
Once everything is cooked, assemble the bowls by placing a scoop of quinoa at the bottom, topped with roasted sweet potatoes and tofu. Drizzle with tahini or your favorite dressing, and garnish with fresh herbs like cilantro or parsley.

### Tips
- For added flavor, consider marinating the tofu in a mixture of soy sauce, garlic, and ginger for at least 30 minutes before roasting.
- If you have leftover roasted sweet potatoes and quinoa, they make a fantastic base for a salad the next day. Just toss them with some greens, nuts, and a light vinaigrette for a quick lunch.
- Feel free to add seasonal vegetables like Brussels sprouts or bell peppers to the roasting pan for more variety and color."
Has anyone tried roasting sweet potatoes and tofu for a dinner party? Need a Hetty McKinnon style recipe! 😋,"Roasted Sweet Potatoes and Tofu with Maple Tahini Drizzle

This vibrant dish is a celebration of textures and flavors, perfect for impressing guests at your dinner party. The sweet potatoes become caramelized and tender, while the tofu crisps up beautifully, providing a satisfying contrast. The maple tahini drizzle adds a luscious, nutty sweetness that ties everything together. Feel free to swap the sweet potatoes for butternut squash or even carrots, and use any firm tofu you have on hand. This dish is not only visually stunning but also packed with nutrients, making it a wholesome centerpiece for any meal.

### Steps
# Step 1
Preheat your oven to 425°F (220°C). Line a large baking sheet with parchment paper.

# Step 2
Peel and cut 2 large sweet potatoes into 1-inch cubes. Drain and press 14 ounces of firm tofu to remove excess moisture, then cut it into 1-inch cubes as well.

# Step 3
In a large bowl, toss the sweet potatoes and tofu with 3 tablespoons of olive oil, 1 teaspoon of smoked paprika, 1 teaspoon of garlic powder, salt, and pepper to taste. Spread them out in a single layer on the prepared baking sheet.

# Step 4
Roast in the preheated oven for 25-30 minutes, flipping halfway through, until the sweet potatoes are tender and caramelized, and the tofu is golden brown.

# Step 5
While the sweet potatoes and tofu are roasting, prepare the maple tahini drizzle. In a small bowl, whisk together 3 tablespoons of tahini, 2 tablespoons of maple syrup, 1 tablespoon of lemon juice, and a pinch of salt. If the mixture is too thick, add a little water until you reach your desired consistency.

# Step 6
Once the sweet potatoes and tofu are done, remove them from the oven and drizzle with the maple tahini sauce. Toss gently to combine.

# Step 7
Serve warm, garnished with chopped fresh parsley or cilantro, and enjoy!

### Tips
- For extra flavor, consider marinating the tofu in soy sauce, garlic, and ginger for 30 minutes before roasting. This will infuse it with a deeper umami taste.
- If you have leftovers, this dish makes a fantastic salad topping the next day. Just toss the roasted sweet potatoes and tofu with some fresh greens, nuts, and a simple vinaigrette.
- You can also add other vegetables to the roasting pan, such as bell peppers or red onions, for added color and flavor. Just be sure to adjust the roasting time as needed."
"i need a fancy but easy dinner recipe for guests using sweet potato & quinoa, what’s good?","This vibrant sweet potato and quinoa dish is a showstopper that combines earthy flavors with a touch of elegance, perfect for impressing your guests without spending hours in the kitchen. The sweet potatoes are roasted to caramelized perfection, while the quinoa provides a nutty base that can be enhanced with herbs and spices. Feel free to substitute the quinoa with farro or bulgur for a different texture, and add in seasonal vegetables like kale or spinach for extra color and nutrition. A drizzle of tahini or a sprinkle of feta can elevate the dish even further.

### Steps
# Step 1
Preheat your oven to 425°F (220°C). Peel and dice 2 medium sweet potatoes into 1-inch cubes. Toss them in a bowl with olive oil, salt, pepper, and a teaspoon of smoked paprika. Spread them out on a baking sheet and roast for 25-30 minutes, or until tender and caramelized.

# Step 2
While the sweet potatoes are roasting, rinse 1 cup of quinoa under cold water. In a medium saucepan, combine the quinoa with 2 cups of vegetable broth and bring to a boil. Once boiling, reduce the heat to low, cover, and simmer for about 15 minutes, or until the quinoa is fluffy and the liquid is absorbed. Remove from heat and let it sit covered for 5 minutes.

# Step 3
In a large bowl, combine the cooked quinoa, roasted sweet potatoes, and a handful of chopped fresh herbs like parsley or cilantro. Drizzle with olive oil and lemon juice, and season with salt and pepper to taste. Toss gently to combine.

# Step 4
Serve the quinoa and sweet potato mixture warm, garnished with additional herbs, a sprinkle of feta cheese (if using), and a drizzle of tahini for a creamy finish.

### Tips
- For added crunch, consider tossing in some toasted nuts or seeds, such as pumpkin seeds or walnuts, just before serving.
- If you want to make this dish ahead of time, prepare the quinoa and roast the sweet potatoes earlier in the day, then combine them just before serving to keep everything fresh.
- This dish pairs beautifully with a simple green salad or grilled vegetables for a complete meal."
"SUMMER dinner party ideas? Roasted sweet potato and tofu sounds great, help!","Roasted Sweet Potato and Tofu with Spicy Peanut Sauce

This vibrant dish is a celebration of summer flavors, featuring sweet potatoes and tofu roasted to perfection and drizzled with a creamy, spicy peanut sauce. The sweetness of the potatoes pairs beautifully with the savory, nutty tofu, while the sauce adds a delightful kick. Feel free to swap the sweet potatoes for butternut squash or even carrots, and if you're not a fan of tofu, chickpeas or tempeh would work wonderfully as a protein alternative. Serve this dish warm or at room temperature, making it perfect for a summer dinner party.

### Steps
# Step 1
Preheat your oven to 425°F (220°C). Line a baking sheet with parchment paper.

# Step 2
Peel and cube 2 large sweet potatoes into 1-inch pieces. Drain and press 14 ounces of firm tofu to remove excess moisture, then cut it into cubes. Toss both the sweet potatoes and tofu in a large bowl with 2 tablespoons of olive oil, salt, and pepper.

# Step 3
Spread the sweet potatoes and tofu evenly on the prepared baking sheet. Roast in the preheated oven for 25-30 minutes, flipping halfway through, until the sweet potatoes are tender and the tofu is golden brown.

# Step 4
While the sweet potatoes and tofu are roasting, prepare the spicy peanut sauce. In a small bowl, whisk together 1/4 cup of peanut butter, 2 tablespoons of soy sauce, 1 tablespoon of maple syrup, 1 tablespoon of rice vinegar, 1 teaspoon of sriracha (or more to taste), and enough water to reach your desired consistency.

# Step 5
Once the sweet potatoes and tofu are done roasting, remove them from the oven and drizzle the spicy peanut sauce over the top. Toss gently to combine.

# Step 6
Serve warm, garnished with chopped cilantro, sliced green onions, and a sprinkle of sesame seeds if desired.

### Tips
- For a nut-free version, substitute the peanut butter with sunflower seed butter or tahini. 
- If you have leftovers, this dish can be repurposed into a delicious grain bowl. Simply serve the roasted sweet potato and tofu over cooked quinoa or brown rice, topped with additional sauce and fresh veggies.
- To add more texture and flavor, consider adding a handful of chopped peanuts or cashews on top before serving for a delightful crunch."
"need a nice recipe for dinner party🍽️ using quinoa and sweet potatoes, roasted preferably","This vibrant quinoa and roasted sweet potato salad is a showstopper for any dinner party, combining earthy flavors with a delightful crunch. The sweet potatoes are caramelized to perfection, while the quinoa adds a nutty base that’s both filling and nutritious. Feel free to swap in other seasonal vegetables like Brussels sprouts or carrots, and consider adding nuts or seeds for extra texture. A zesty dressing of lemon and tahini ties everything together beautifully, making this dish not only a feast for the eyes but also a wholesome option for your guests.

### Steps
# Step 1
Preheat your oven to 425°F (220°C). On a large baking sheet, toss 2 medium sweet potatoes (peeled and diced into 1-inch cubes) with 2 tablespoons of olive oil, salt, and pepper. Spread them out in a single layer and roast for 25-30 minutes, or until golden and tender, flipping halfway through.

# Step 2
While the sweet potatoes are roasting, rinse 1 cup of quinoa under cold water. In a medium saucepan, combine the rinsed quinoa with 2 cups of vegetable broth (or water) and a pinch of salt. Bring to a boil, then reduce the heat to low, cover, and simmer for about 15 minutes, or until the quinoa is fluffy and the liquid is absorbed. Remove from heat and let it sit covered for 5 minutes before fluffing with a fork.

# Step 3
In a small bowl, whisk together 3 tablespoons of tahini, the juice of 1 lemon, 1 tablespoon of maple syrup (or honey), and 2 tablespoons of water until smooth. Adjust the consistency with more water if needed, and season with salt and pepper to taste.

# Step 4
In a large bowl, combine the roasted sweet potatoes, cooked quinoa, and a handful of chopped fresh parsley or cilantro. Drizzle the tahini dressing over the top and toss gently to combine. Serve warm or at room temperature.

### Tips
- For added crunch, consider tossing in some toasted pumpkin seeds or walnuts just before serving. 
- If you want to make this dish vegan, ensure that the maple syrup is used instead of honey.
- Leftovers can be stored in the fridge for up to 3 days. Enjoy them cold as a refreshing lunch or reheat gently in the microwave, adding a splash of water to keep it moist."
Looking for an easy slow-cooked dinner with kimchi and chicken for tonight,"This easy slow-cooked kimchi chicken dish is a delightful fusion of flavors that meld together beautifully over time. The tangy, spicy notes of kimchi infuse the chicken, creating a comforting and hearty meal. You can use bone-in chicken thighs for extra flavor, or opt for boneless chicken breasts if you prefer a leaner option. Feel free to add vegetables like carrots or potatoes to the pot for a complete meal, and serve it over rice or noodles to soak up the delicious sauce.

### Ingredients:
- 2 pounds bone-in chicken thighs (or boneless breasts)
- 2 cups kimchi, chopped
- 1 onion, sliced
- 4 cloves garlic, minced
- 1 tablespoon ginger, minced
- 1 tablespoon soy sauce
- 1 tablespoon sesame oil
- 1 cup chicken broth
- 1 tablespoon gochujang (Korean chili paste) (optional for extra heat)
- Green onions, for garnish
- Sesame seeds, for garnish

### Steps:
# Step 1
In a slow cooker, combine the chopped kimchi, sliced onion, minced garlic, minced ginger, soy sauce, sesame oil, chicken broth, and gochujang if using. Stir to combine.

# Step 2
Add the chicken thighs to the slow cooker, ensuring they are submerged in the kimchi mixture. 

# Step 3
Cover and cook on low for 6-8 hours or on high for 3-4 hours, until the chicken is tender and fully cooked.

# Step 4
Once cooked, shred the chicken in the pot using two forks and stir to combine with the sauce. 

# Step 5
Serve hot, garnished with sliced green onions and sesame seeds over rice or noodles.

### Tips:
- If you prefer a milder flavor, use less kimchi or rinse it briefly before adding it to the slow cooker. 
- This dish is perfect for meal prep; the flavors deepen as it sits, making it even better the next day. 
- Leftovers can be repurposed into a spicy chicken fried rice or added to a stir-fry with fresh vegetables for a quick lunch."
can u give me a quick recipe for chicken and cabbage that uses kimchi?,"This quick and vibrant chicken and cabbage stir-fry is a delightful way to incorporate kimchi into your meal. The tangy, spicy notes of the kimchi meld beautifully with tender chicken and crisp cabbage, creating a dish that’s both comforting and invigorating. Feel free to substitute the chicken with tofu for a vegetarian option, and use any type of cabbage you have on hand—Napa, green, or even savoy will work wonderfully. 

### Steps
# Step 1
In a large skillet or wok, heat 1 tablespoon of vegetable oil over medium-high heat. Add 1 pound of boneless, skinless chicken thighs (cut into bite-sized pieces) and cook until browned and cooked through, about 5-7 minutes. Remove the chicken from the skillet and set aside.

# Step 2
In the same skillet, add another tablespoon of oil if needed, then toss in 4 cups of shredded cabbage and stir-fry for about 3-4 minutes until it begins to soften. 

# Step 3
Add 1 cup of chopped kimchi to the skillet along with the cooked chicken. Stir everything together and cook for an additional 2-3 minutes, allowing the flavors to meld.

# Step 4
Finish with a splash of soy sauce and a sprinkle of sesame oil. Toss to combine and serve hot, garnished with sliced green onions and sesame seeds if desired.

### Tips
- For a spicier kick, add a teaspoon of gochujang (Korean chili paste) when you add the kimchi. 
- This dish is perfect for using up leftover vegetables; feel free to throw in any crisper-drawer items like bell peppers, carrots, or snap peas.
- Leftovers can be stored in the fridge for up to three days and make a great filling for wraps or a topping for rice bowls."
I want to make kimchi chicken in the slow cooker but don't know where to start!,"Kimchi chicken in the slow cooker is a delightful fusion dish that marries the tangy, spicy flavors of kimchi with tender, juicy chicken. This recipe is incredibly forgiving, allowing you to use bone-in or boneless chicken thighs or breasts, depending on your preference. If you want to add more depth, consider incorporating vegetables like carrots or bell peppers, which will soak up the kimchi flavor as they cook. Serve it over rice or noodles to soak up the delicious sauce, and don’t forget to garnish with green onions for a fresh finish.

### Steps
# Step 1
In a slow cooker, combine 2 cups of chopped kimchi, 1 cup of chicken broth, 2 tablespoons of soy sauce, 1 tablespoon of sesame oil, and 1 tablespoon of gochugaru (Korean red pepper flakes) for an extra kick.

# Step 2
Add 4 to 6 pieces of chicken (thighs or breasts) to the slow cooker, ensuring they are well coated with the kimchi mixture.

# Step 3
Cover and cook on low for 6 to 8 hours or on high for 3 to 4 hours, until the chicken is tender and fully cooked.

# Step 4
Once cooked, shred the chicken directly in the slow cooker using two forks, mixing it with the kimchi sauce. Taste and adjust seasoning if necessary.

# Step 5
Serve the kimchi chicken over steamed rice or noodles, garnished with sliced green onions and sesame seeds.

### Tips
- For a vegetarian version, substitute the chicken with firm tofu or tempeh, and adjust the cooking time accordingly, as they will require less time to cook.
- If you prefer a milder dish, use less kimchi or opt for a less spicy variety. You can also add a tablespoon of honey or sugar to balance the heat.
- Leftovers can be repurposed into a delicious kimchi fried rice. Simply sauté the leftover chicken and sauce with cooked rice, adding an egg for richness if desired."
what's a simple way to cook chicken with kimchi and cabbage??,"This simple yet flavorful dish combines tender chicken with the tangy, spicy notes of kimchi and the crunch of cabbage, creating a comforting meal that’s perfect for any night of the week. You can use boneless chicken thighs for a juicier result, or opt for chicken breasts if you prefer a leaner option. Feel free to add other vegetables like carrots or bell peppers for extra color and nutrition. Serve it over rice or noodles to soak up the delicious sauce.

### Steps
# Step 1
In a large skillet, heat 1 tablespoon of vegetable oil over medium-high heat. Season 1 pound of chicken (thighs or breasts) with salt and pepper, then add to the skillet. Cook until browned and cooked through, about 5-7 minutes per side. Remove the chicken from the skillet and set aside.

# Step 2
In the same skillet, add 1 cup of chopped kimchi and 2 cups of chopped cabbage. Sauté for about 5 minutes, until the cabbage is wilted and tender.

# Step 3
Return the chicken to the skillet, along with 2 tablespoons of soy sauce and 1 tablespoon of sesame oil. Stir to combine and cook for an additional 2-3 minutes, allowing the flavors to meld.

# Step 4
Serve hot, garnished with sliced green onions and sesame seeds if desired.

### Tips
- If you want to add more depth to the dish, consider adding a splash of rice vinegar or a teaspoon of sugar to balance the flavors.
- Leftovers can be repurposed into a delicious fried rice by simply sautéing cooked rice with the chicken and kimchi mixture the next day.
- For a vegetarian version, substitute the chicken with firm tofu, pressing it to remove excess moisture before cooking."
"need a tasty weeknight meal🤤 with chicken, kimchi, and cabbage in the slow cooker!!","This slow cooker chicken with kimchi and cabbage is a delightful fusion of flavors that meld together beautifully over hours of gentle cooking. The chicken becomes tender and infused with the tangy, spicy notes of kimchi, while the cabbage softens and adds a lovely texture. Feel free to swap out the chicken for tofu or tempeh for a vegetarian option, and adjust the amount of kimchi based on your spice preference. Serve it over rice or noodles to soak up the delicious broth.

### Steps
# Step 1
In the slow cooker, combine 1 pound of boneless, skinless chicken thighs, 2 cups of chopped kimchi (with some of the juice), and 4 cups of chopped green cabbage. 

# Step 2
Add 1 tablespoon of soy sauce, 1 tablespoon of sesame oil, and 1 teaspoon of grated ginger. Stir to combine all the ingredients.

# Step 3
Cover and cook on low for 6-8 hours or on high for 3-4 hours, until the chicken is tender and easily shreds with a fork.

# Step 4
Once cooked, shred the chicken directly in the slow cooker and stir everything together. Taste and adjust seasoning if necessary, adding more soy sauce or kimchi juice for extra flavor.

# Step 5
Serve hot over steamed rice or noodles, garnished with sliced green onions and sesame seeds if desired.

### Tips
- For a vegetarian version, substitute the chicken with 1 pound of firm tofu, cut into cubes. Add the tofu in the last hour of cooking to prevent it from breaking apart.
- If you prefer a milder dish, use less kimchi or opt for a milder variety. You can also add a splash of coconut milk for creaminess.
- Leftovers can be repurposed into a delicious fried rice or a spicy kimchi stew by adding broth and more vegetables."
can u give me a brunch recipe with feta and spinach??,"This vibrant spinach and feta frittata is a delightful way to elevate your brunch game. The creamy, tangy feta pairs beautifully with the earthy spinach, creating a dish that is both satisfying and light. Feel free to swap out the spinach for other greens like kale or Swiss chard, and add in any leftover vegetables you have on hand, such as bell peppers or zucchini, for extra flavor and nutrition. Serve it warm or at room temperature, making it perfect for a leisurely weekend gathering.

# Step 1
Preheat your oven to 375°F (190°C). In a large oven-safe skillet, heat 1 tablespoon of olive oil over medium heat. Add 1 small diced onion and sauté until softened, about 5 minutes.

# Step 2
Add 4 cups of fresh spinach to the skillet and cook until wilted, about 2-3 minutes. Season with salt and pepper to taste. Remove from heat and let cool slightly.

# Step 3
In a bowl, whisk together 6 large eggs, 1/2 cup of milk, and 1/2 cup of crumbled feta cheese. Stir in the cooled spinach mixture until well combined.

# Step 4
Pour the egg mixture back into the skillet and cook on the stovetop for 2-3 minutes until the edges begin to set. Transfer the skillet to the preheated oven and bake for 15-20 minutes, or until the frittata is puffed and golden.

# Step 5
Let the frittata cool for a few minutes before slicing. Serve warm or at room temperature, garnished with fresh herbs if desired."
